dealer_number,part_number,first_sale_date,first_sale_date_amount,second_sale_date,second_sale_date_amount,third_sale_date,third_sale_date_amount,fourth_sale_date,fourth_sale_date_amount,fifth_sale_date,fifth_sale_date_amount
111111,13162312,9/22/15,2,2/14/15,2,,,,,,
111111,13291779,6/17/16,1,6/9/16,1,2/29/16,1,9/22/15,1,2/14/15,1
111111,15772883,2/18/15,1,2/14/15,1,,,,,,
111111,20820072,4/14/12,1,,,,,,,,
111111,15269823,4/20/12,2,4/14/12,2,,,,,,
111111,15930191,10/14/16,1,10/22/15,1,3/7/14,1,4/24/12,1,,
111111,20760910,11/2/12,1,4/24/12,1,,,,,,
111111,20826182,10/17/16,1,9/15/16,1,9/14/16,1,9/13/16,1,8/25/16,1
111111,20896270,10/27/16,1,10/14/16,1,5/6/16,1,2/12/16,1,1/15/16,1
111111,24211287,4/24/12,1,,,,,,,,
111111,25802476,4/24/12,1,,,,,,,,
111111,25854471,4/24/12,1,,,,,,,,
111111,25894029,4/24/12,1,,,,,,,,
111111,10054241,7/23/14,1,3/29/13,1,4/24/12,1,,,,
111111,15239124,10/27/16,1,10/14/16,1,6/14/16,1,2/12/16,1,1/15/16,1
111111,19159115,4/24/12,1,,,,,,,,
111111,15784732,4/23/12,1,,,,,,,,
111111,15860124,4/23/12,1,,,,,,,,
111111,19167307,4/23/12,1,,,,,,,,
111111,19259312,2/10/16,1,7/24/13,1,6/17/13,1,4/23/12,1,,
111111,20823440,4/23/12,1,,,,,,,,
111111,25791032,4/23/12,2,,,,,,,,
111111,25989398,4/23/12,1,,,,,,,,
111111,25994881,4/23/12,2,,,,,,,,
111111,88986257,4/23/12,1,,,,,,,,
111111,15139039,4/23/12,1,,,,,,,,
111111,15219050,4/23/12,1,,,,,,,,
111111,19181022,12/26/13,1,4/23/12,2,,,,,,
111111,19181036,12/26/13,1,4/23/12,2,,,,,,
111111,19181790,3/26/14,1,7/20/12,1,4/23/12,1,,,,
111111,20969813,10/27/16,1,10/14/16,1,6/6/16,1,5/6/16,1,1/15/16,1
111111,20972851,10/17/12,1,4/23/12,1,,,,,,
111111,22681643,4/23/12,1,,,,,,,,
111111,19143747,4/23/12,4,,,,,,,,
111111,12376619,4/23/12,1,,,,,,,,
111111,25847681,4/23/12,1,,,,,,,,
111111,25875524,4/23/12,1,,,,,,,,
111111,8677782,4/23/12,1,,,,,,,,
111111,11612155,5/2/12,1,,,,,,,,
111111,22146834,5/2/12,1,,,,,,,,
111111,22847616,5/2/12,1,,,,,,,,
111111,12626526,5/2/12,1,,,,,,,,
111111,20790497,11/23/15,1,5/2/12,1,,,,,,
111111,21023581,7/13/12,1,5/2/12,1,,,,,,
111111,25832113,1/9/14,1,9/20/13,1,8/22/13,1,5/2/12,1,,
111111,88910510,2/28/14,1,5/2/12,1,,,,,,
111111,89037533,4/18/12,1,,,,,,,,
111111,12491334,4/18/12,1,,,,,,,,
111111,19178085,4/18/12,1,,,,,,,,
111111,20863710,4/18/12,1,,,,,,,,
111111,24226081,4/18/12,1,,,,,,,,
111111,25883350,2/2/15,1,8/26/14,1,4/14/14,1,1/8/14,1,11/26/13,1
111111,96042971,4/18/12,1,,,,,,,,
111111,12591860,4/12/12,1,,,,,,,,
111111,25788161,4/12/12,1,,,,,,,,
111111,20846339,4/12/12,1,,,,,,,,
111111,15120856,5/30/13,1,5/23/12,1,4/12/12,1,,,,
111111,19210325,11/21/14,1,11/17/14,1,7/28/14,1,12/6/13,1,4/12/12,1
111111,15262337,4/4/12,1,,,,,,,,
111111,20876185,11/11/15,2,4/4/12,2,,,,,,
111111,25886112,4/4/12,1,,,,,,,,
111111,12499225,11/11/13,1,4/6/12,1,,,,,,
111111,19245430,4/6/12,1,,,,,,,,
111111,92065790,4/6/12,1,,,,,,,,
111111,20952477,1/13/14,1,10/3/13,1,6/5/13,1,5/31/13,1,12/17/12,2
111111,20828694,6/11/14,1,1/8/14,1,9/27/13,1,4/6/12,1,,
111111,26087310,4/6/12,1,,,,,,,,
111111,52462693,4/6/12,1,,,,,,,,
111111,20992668,9/30/13,1,4/17/12,1,4/16/12,1,,0,,0
111111,22829420,2/2/15,1,1/8/14,1,4/17/12,1,3/8/12,1,,0
111111,25875522,4/23/12,1,4/17/12,1,,,,,,
111111,89041479,4/17/12,1,,,,,,,,
111111,15274047,11/27/13,1,4/17/12,1,,,,,,
111111,16640853,4/17/12,1,,,,,,,,
111111,19177160,4/17/12,1,,,,,,,,
111111,22777531,4/10/12,1,,,,,,,,
111111,88958860,5/25/12,1,4/10/12,1,,,,,,
111111,9596964,4/27/12,1,,,,,,,,
111111,21096854,1/15/14,1,4/27/12,1,,,,,,
111111,15050669,4/27/12,1,,,,,,,,
111111,19130607,5/7/15,1,9/30/14,2,9/23/13,1,4/27/12,1,,
111111,19239588,3/23/16,2,5/18/15,6,1/4/14,4,4/27/12,4,,
111111,20777103,4/27/12,1,,,,,,,,
111111,20821156,4/27/12,1,,,,,,,,
111111,20836120,4/27/12,1,,,,,,,,
111111,20836121,4/27/12,1,,,,,,,,
111111,20876372,4/27/12,1,,,,,,,,
111111,89036244,4/27/12,2,,,,,,,,
111111,22820411,1/8/14,1,5/23/12,1,,,,,,
111111,15032060,5/25/16,1,5/23/12,1,,,,,,
111111,98075297,5/23/12,1,,,,,,,,
111111,25912410,5/1/15,1,3/26/15,1,5/30/12,1,,,,
111111,19116852,11/4/16,1,5/4/12,1,,,,,,
111111,11609289,5/4/12,1,,,,,,,,
111111,15212981,1/29/16,1,5/4/12,1,,,,,,
111111,19257940,2/12/13,6,5/4/12,6,,0,,0,,0
111111,21172105,5/9/12,3,5/4/12,1,,,,,,
111111,25792626,5/4/12,1,,,,,,,,
111111,3898610,6/11/12,1,,,,,,,,
111111,15783645,6/11/12,1,,,,,,,,
111111,10213464,,,,,,,,,,
111111,95996129,7/30/15,1,6/11/12,1,,,,,,
111111,15043568,7/13/12,1,6/11/12,1,,,,,,
111111,15146296,6/11/12,1,,,,,,,,
111111,15305077,6/11/12,1,,,,,,,,
111111,17803725,6/11/12,1,,,,,,,,
111111,22730681,6/11/12,1,,,,,,,,
111111,25774938,6/11/12,2,,,,,,,,
111111,25808941,6/11/12,1,,,,,,,,
111111,25808942,6/11/12,1,,,,,,,,
111111,3977326,7/5/16,1,3/30/16,1,1/28/14,1,3/6/13,1,8/23/12,1
111111,19150646,6/15/12,1,,,,,,,,
111111,20998458,1/25/13,1,6/15/12,1,,,,,,
111111,20999458,6/15/12,1,,,,,,,,
111111,25140961,6/15/12,1,,,,,,,,
111111,89058410,8/15/12,1,6/15/12,1,,,,,,
111111,88900401,11/3/16,6,10/31/16,6,10/29/16,3,10/27/16,3,10/25/16,3
111111,20999459,10/26/16,1,9/16/16,1,9/15/16,1,9/3/16,1,7/15/16,1
111111,22759638,6/15/12,1,,,,,,,,
111111,22858896,6/15/12,1,,0,,0,,0,,0
111111,96870465,6/2/12,1,,,,,,,,
111111,96980824,6/2/12,1,,,,,,,,
111111,12346287,7/3/15,1,7/2/15,1,7/1/15,2,6/29/15,1,6/15/15,1
111111,22755305,6/30/16,1,2/2/16,1,6/16/15,1,4/9/14,1,3/27/14,1
111111,96870493,6/2/12,1,,,,,,,,
111111,3517831,6/18/12,1,,,,,,,,
111111,19286000,6/23/14,1,6/18/12,1,,,,,,
111111,15877671,6/20/16,1,5/21/12,1,,,,,,
111111,15877672,5/21/12,1,,,,,,,,
111111,19256263,5/21/12,1,,,,,,,,
111111,97780091,3/12/14,1,5/21/12,1,,,,,,
111111,15818593,5/21/12,1,,,,,,,,
111111,19251376,5/21/12,1,,,,,,,,
111111,20926209,5/21/12,1,,,,,,,,
